id,cena_pln,log_cena_pln,metraz_m2,log_metraz_m2,cena_za_m2,liczba_pokoi,pietro,pietro_maks,parter,ostatnie_pietro,dzielnica,data_pobrania
ID4Chkv,922950,13.735330340836748,43.95,3.783052624131186,21000.0,2,4.0,6.0,False,0.0,Krowodrza,2026-08-05
ID4BdMT,789000,13.578521599828012,37.72,3.6301904577652566,20917.29,2,3.0,4.0,False,0.0,Podgórze,2026-08-05
ID19USs6,799000,13.591116224748411,39.0,3.6635616461296463,20487.18,1,0.0,,True,,Grzegórzki,2026-08-05
ID4Cl6c,599000,13.303016877097589,44.0,3.784189633918261,13613.64,2,0.0,2.0,True,0.0,Prądnik Biały,2026-08-05
ID4Ctwp,760000,13.541073712262516,67.5,4.212127597878484,11259.26,4,2.0,10.0,False,0.0,Podgórze Duchackie,2026-08-05
ID4ClnF,480000,13.081541382884074,35.18,3.560477739309412,13644.12,2,4.0,4.0,False,1.0,Bieńczyce,2026-08-05
ID1bCQP7,899000,13.709038313453757,80.75,4.391357962102766,11133.13,3,3.0,,False,,Bronowice,2026-08-05
ID4Cr45,490000,13.102160670086809,34.54,3.5421180727185324,14186.45,2,7.0,10.0,False,0.0,Bieżanów-Prokocim,2026-08-05
ID4CooE,819000,13.615839362835208,56.67,4.037244970181528,14452.09,3,2.0,4.0,False,0.0,Bieżanów-Prokocim,2026-08-05
ID4Co97,680000,13.42984807715229,60.0,4.0943445622221,11333.33,3,4.0,3.0,False,0.0,Prądnik Czerwony,2026-08-05
ID4CeoX,860000,13.664687668229693,72.2,4.279440045898781,11911.36,5,2.0,11.0,False,0.0,Prądnik Czerwony,2026-08-05
ID4BalA,599000,13.303016877097589,31.72,3.456947396766647,18883.98,1,0.0,5.0,True,0.0,Krowodrza,2026-08-05
ID4Coz5,449000,13.01477816672439,36.74,3.60386607978698,12221.01,2,4.0,4.0,False,1.0,Prądnik Biały,2026-08-05
ID4Bf4c,680170,13.430098045907496,40.01,3.689129422869144,17000.0,2,2.0,8.0,False,0.0,nieznana,2026-08-05
ID4zfH9,584173,13.27795245081878,29.47,3.3833727967496032,19822.63,1,5.0,,False,,Podgórze,2026-08-05
ID1biuR0,465300,13.05043763783274,30.0,3.4011973816621555,15510.0,1,5.0,,False,,Prądnik Biały,2026-08-05
ID4CsQf,306585,12.633250320543988,22.71,3.122805356117467,13500.0,2,2.0,4.0,False,0.0,Podgórze Duchackie,2026-08-05
ID17glrd,948000,13.76210978123716,63.0,4.143134726391533,15047.62,3,1.0,,False,,Bieżanów-Prokocim,2026-08-05
